id,date_sold,city,neighborhood,zipcode,lat,long,sqft_living,sqft_lot,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,garage,parking,hoa_monthly,price,price_per_sqft
1,2024-07-10,Pune,Sunset Park,231959,18.470205,73.705468,5419,13269,4,3.4,3,0,0,3,9,4774,645,1938,1957,1,6,0,17305000,3193.39
2,2025-01-17,Bengaluru,Lake View,781156,13.080661,77.621355,3989,9364,5,1.2,1,0,0,5,8,2455,1534,1915,0,1,5,0,16206000,4062.67
3,2021-10-10,Bengaluru,Sunset Park,241933,12.9295,77.506244,3515,6061,3,1.4,2,0,0,4,8,3419,96,1997,0,2,6,0,15665000,4456.61
4,2016-12-14,Pune,Green Acres,475839,18.504361,73.927946,4785,18698,5,2.7,1,0,0,3,4,4781,4,1973,0,2,6,0,16893000,3530.41
5,2017-10-28,Delhi,Garden Villas,369179,28.703549,77.235453,2994,5512,4,1.2,1,0,1,3,8,2537,457,1987,0,1,4,21,12302000,4108.88
6,2024-07-29,Mumbai,Central Park,754168,19.146447,72.966385,5202,16247,4,1.0,2,0,2,3,8,3426,1776,1909,2022,3,6,0,20785000,3995.58
7,2020-02-29,Mumbai,Riverside,220269,19.066675,72.894617,1395,4610,2,2.7,2,0,4,3,9,1125,270,1944,0,3,4,38,11063000,7930.47
8,2016-01-03,Mumbai,Garden Villas,842181,19.166485,72.918476,3906,4306,4,1.3,1,0,2,3,8,3402,504,1989,0,2,6,58,16876000,4320.53
9,2017-09-29,Pune,Green Acres,164887,18.423118,73.726446,3031,3286,2,1.0,1,0,0,3,10,2043,988,1933,0,1,4,282,12358000,4077.2
10,2019-12-01,Bengaluru,Industrial Area,247338,13.057729,77.507992,3549,12780,4,3.2,2,0,0,3,13,2679,870,1962,0,2,6,120,16240000,4575.94
11,2020-01-31,Pune,Hilltop,631431,18.573002,73.932602,1288,5770,4,2.5,1,0,1,4,5,829,459,2000,0,1,2,97,9208000,7149.07
12,2024-02-10,Pune,Central Park,197499,18.464145,73.730759,5293,30227,3,2.7,2,0,0,2,10,4405,888,1967,2000,1,6,57,19534000,3690.53
13,2021-04-03,Chennai,Green Acres,285204,13.199118,80.219851,791,1499,6,2.8,3,0,0,3,6,583,208,1992,0,2,3,0,6523000,8246.52
14,2021-09-05,Bengaluru,Lake View,301336,13.045032,77.638625,2900,4397,2,3.0,2,0,0,2,6,2149,751,1985,0,1,4,0,12129000,4182.41
15,2020-04-09,Chennai,Hilltop,388168,13.173635,80.268164,4575,5767,7,2.5,2,0,0,3,6,3587,988,1988,0,1,6,86,15252000,3333.77
16,2024-08-08,Kolkata,Lake View,151091,22.552238,88.422775,946,3008,1,1.0,1,0,0,3,7,663,283,1910,0,1,2,166,6452000,6820.3
17,2020-10-16,Bengaluru,Sector 5,439366,13.049822,77.5719,1855,7635,1,1.0,1,0,2,3,7,1571,284,2009,0,0,2,0,10274000,5538.54
18,2018-01-24,Bengaluru,Central Park,174821,12.909716,77.540466,1211,6301,4,3.0,2,0,0,3,10,1052,159,2018,0,1,2,708,10776000,8898.43
19,2020-04-12,Bengaluru,Lake View,897202,13.099326,77.610249,2990,13196,6,2.6,3,0,1,4,7,2094,896,1983,0,1,4,0,15009000,5019.73
20,2023-04-24,Mumbai,Lake View,431880,19.0043,72.932093,5444,11116,5,1.9,1,0,1,2,9,4944,500,1987,0,1,6,0,21912000,4024.98
21,2021-07-18,Mumbai,Sector 5,828316,19.045624,72.832423,4081,13503,1,1.0,1,0,0,2,12,2536,1545,2010,0,1,5,418,17770000,4354.32
22,2021-03-05,Chennai,Central Park,437070,13.102042,80.338352,1901,10554,2,1.2,2,0,0,4,5,1667,234,1994,0,2,4,201,9741000,5124.15
23,2016-09-13,Chennai,Riverside,886998,13.061244,80.22905,3586,9444,3,1.7,3,0,1,2,4,2775,811,1924,0,0,4,0,13499000,3764.36
24,2022-07-05,Bengaluru,Sector 5,309042,13.088474,77.690987,5957,20812,6,1.2,2,0,0,4,6,5056,901,1968,1974,1,6,0,21158000,3551.79
25,2022-08-24,Chennai,Sector 5,901744,13.115909,80.221768,2086,12084,5,1.0,1,0,0,2,12,1584,502,1930,0,1,3,0,9152000,4387.34
26,2016-06-02,Mumbai,Central Park,213356,19.075215,72.823139,1799,8408,3,2.3,1,0,1,5,9,1351,448,2007,0,1,3,0,11680000,6492.5
27,2023-04-25,Pune,Sector 5,345797,18.529629,73.746401,614,2910,4,3.5,3,0,0,1,7,404,210,1956,0,2,3,0,5649000,9200.33
28,2015-03-14,Pune,Industrial Area,324177,18.465252,73.7928,3009,6805,4,2.6,2,0,0,4,4,2663,346,1986,2009,2,5,121,14290000,4749.09
29,2022-08-22,Pune,Old Town,294780,18.57606,73.821775,3071,9439,2,1.5,1,1,0,3,6,2211,860,2019,0,1,4,0,15742000,5126.02
30,2022-10-21,Chennai,Central Park,457450,13.182804,80.293473,1812,2558,1,1.9,2,0,2,3,10,1399,413,1952,0,2,4,0,10334000,5703.09
31,2018-11-26,Kolkata,Central Park,531910,22.660088,88.346172,4602,18558,5,2.6,2,0,0,5,5,4157,445,1980,1980,0,5,0,17270000,3752.72
32,2020-05-17,Mumbai,Riverside,368796,19.023131,72.887272,1795,2726,1,1.4,2,0,0,3,8,1242,553,1965,0,1,3,4,11623000,6475.21
33,2023-01-01,Kolkata,Lake View,596233,22.638076,88.3211,2648,13715,2,2.2,3,0,0,3,8,2066,582,1955,0,2,5,128,10051000,3795.69
34,2017-05-17,Chennai,Industrial Area,610187,13.057012,80.293156,3275,16613,4,1.6,1,0,0,2,6,2383,892,1965,0,3,6,0,14813000,4523.05
35,2025-05-22,Delhi,Garden Villas,266731,28.509494,77.285987,1982,7270,1,1.6,4,0,0,2,7,1756,226,1990,0,2,4,0,10734000,5415.74
36,2017-07-29,Hyderabad,Sunset Park,980911,17.428001,78.415957,2724,4647,5,1.0,4,0,0,2,9,2683,41,1921,0,1,4,0,12311000,4519.46
37,2019-02-26,Hyderabad,Riverside,494682,17.44089,78.470273,5340,6023,3,2.0,1,0,2,3,4,5234,106,1980,2017,0,5,0,18051000,3380.34
38,2017-01-16,Bengaluru,Lake View,259504,12.904241,77.655971,862,4296,4,2.4,1,0,0,1,9,689,173,1952,0,1,2,18,8699000,10091.65
39,2019-03-05,Hyderabad,Old Town,764812,17.518836,78.552182,565,2260,2,2.8,1,0,0,3,7,377,188,1956,0,1,2,74,6028000,10669.03
40,2016-01-12,Hyderabad,Old Town,637036,17.538516,78.442554,3681,16766,3,1.0,1,0,0,3,6,3631,50,1932,0,1,5,0,13972000,3795.71
41,2020-08-09,Mumbai,Central Park,758144,19.09427,72.965173,2522,6353,2,3.0,2,0,1,2,7,2412,110,2021,0,1,4,0,12974000,5144.33
42,2022-12-26,Pune,Riverside,562367,18.417568,73.86584,3503,12427,2,2.7,2,0,1,4,4,2324,1179,2024,0,1,5,0,14685000,4192.12
43,2022-05-06,Kolkata,Central Park,175726,22.630881,88.355118,2056,9737,5,3.5,2,0,0,5,10,1458,598,1904,0,1,3,0,11042000,5370.62
44,2015-09-08,Delhi,Garden Villas,239982,28.522101,77.208862,2456,8136,1,1.6,4,0,0,4,13,1583,873,1912,0,1,3,0,13931000,5672.23
45,2021-12-24,Delhi,Old Town,194655,28.714627,77.257145,1917,7681,2,2.1,3,0,0,5,8,1883,34,1916,0,0,2,0,11526000,6012.52
46,2023-11-27,Mumbai,Central Park,701724,19.179348,72.921827,2558,12659,4,1.0,1,0,1,3,6,1607,951,1942,1964,1,4,400,13084000,5114.93
47,2018-04-06,Mumbai,Industrial Area,429031,19.193327,72.926717,2681,5566,3,1.9,1,0,0,2,10,2031,650,1983,0,3,6,0,13597000,5071.62
48,2023-12-09,Hyderabad,Sunset Park,438948,17.360199,78.426088,2503,3328,1,1.7,2,0,0,4,6,2341,162,1983,0,1,4,105,11271000,4503.0
49,2022-05-27,Delhi,Garden Villas,665840,28.541747,77.273085,1478,5408,2,2.2,1,0,0,2,6,1208,270,1991,0,2,3,0,9231000,6245.6
50,2023-05-20,Bengaluru,Garden Villas,383539,13.01952,77.538993,3860,5059,2,2.0,2,0,2,3,11,3113,747,2021,0,2,6,0,17124000,4436.27
51,2023-03-25,Bengaluru,Central Park,441237,12.949152,77.665566,4673,22584,1,2.8,3,0,2,4,8,3520,1153,1911,0,1,6,10,19101000,4087.52
52,2023-11-06,Kolkata,Garden Villas,638179,22.579146,88.393499,4003,18398,3,1.8,1,0,0,4,6,2416,1587,1983,0,1,5,0,14906000,3723.71
53,2021-10-14,Bengaluru,Garden Villas,675895,12.986814,77.562669,2715,14684,5,3.3,2,0,2,3,7,1791,924,1970,0,2,5,0,12823000,4723.02
54,2021-05-08,Delhi,Riverside,599493,28.628948,77.123884,5933,24906,3,1.0,3,0,2,3,8,4930,1003,2020,0,0,6,0,20845000,3513.4
55,2017-01-23,Hyderabad,Riverside,366841,17.497464,78.493033,5247,7010,6,3.3,2,0,0,4,8,4832,415,1955,0,1,6,24,18280000,3483.9
56,2016-07-20,Delhi,Garden Villas,583255,28.569018,77.132404,3271,7411,2,1.0,1,0,0,2,6,2809,462,1968,0,2,5,0,12430000,3800.06
57,2015-09-13,Chennai,Industrial Area,459458,13.142724,80.259778,4917,24780,2,2.8,1,0,0,5,5,4445,472,1928,0,2,6,0,16956000,3448.44
58,2018-02-21,Delhi,Sector 5,775988,28.68559,77.053482,1429,2623,1,2.7,1,1,0,3,7,975,454,1924,1950,0,1,19,12412000,8685.79
59,2016-03-01,Hyderabad,Industrial Area,380937,17.427828,78.583966,3861,17345,4,1.0,1,0,0,4,8,3185,676,1910,0,0,4,127,16510000,4276.09
60,2021-08-09,Bengaluru,Central Park,349932,13.014144,77.630868,5487,26893,3,3.2,2,0,2,4,6,4106,1381,1940,0,1,6,436,19880000,3623.11
61,2021-05-14,Pune,Sector 5,349630,18.522929,73.933863,3091,8193,5,1.0,1,0,0,3,10,2268,823,1910,0,2,5,28,11988000,3878.36
62,2018-06-18,Kolkata,Riverside,315042,22.688318,88.364325,3370,8801,3,1.0,1,0,0,3,6,2594,776,1995,0,3,6,0,14599000,4332.05
63,2022-01-02,Chennai,Central Park,808362,13.113657,80.34059,578,2190,1,1.6,1,0,0,4,5,548,30,1937,0,1,2,28,6211000,10745.67
64,2017-02-04,Bengaluru,Hilltop,841913,12.91616,77.597101,520,2759,3,1.6,1,1,3,3,7,496,24,2016,2020,2,3,0,13202000,25388.46
65,2021-04-01,Kolkata,Garden Villas,527114,22.61801,88.413692,644,1365,3,1.4,1,0,0,2,6,589,55,1981,0,3,4,17,5166000,8021.74
66,2023-02-18,Bengaluru,Sunset Park,178149,12.950657,77.574817,4634,26443,5,2.1,2,0,0,2,7,3477,1157,1961,0,1,6,556,18454000,3982.3
67,2020-09-16,Chennai,Sunset Park,887090,13.062313,80.334637,775,3097,2,2.4,3,0,1,4,4,473,302,2020,0,0,1,0,7413000,9565.16
68,2018-04-04,Delhi,Riverside,758532,28.60632,77.159272,5422,32319,6,1.9,1,0,2,3,7,4049,1373,2021,0,1,6,0,19659000,3625.78
69,2017-12-27,Hyderabad,Green Acres,361996,17.369629,78.358992,5548,8034,6,1.0,1,0,3,3,9,5161,387,1978,0,1,6,0,20493000,3693.76
70,2018-09-07,Pune,Green Acres,788844,18.405367,73.809351,1268,2070,5,1.1,1,0,1,3,6,811,457,1980,0,2,3,0,10266000,8096.21
71,2024-04-08,Chennai,Hilltop,682844,13.0344,80.23819,3603,18495,2,4.1,1,0,0,4,13,3125,478,1923,0,1,5,0,15638000,4340.27
72,2020-07-07,Hyderabad,Industrial Area,366509,17.421822,78.520569,848,4515,2,1.0,1,0,2,3,5,800,48,1943,0,1,2,0,7086000,8356.13
73,2021-09-30,Delhi,Green Acres,913592,28.654203,77.015664,3159,10195,4,1.0,1,0,0,2,6,2487,672,2024,0,0,3,0,12356000,3911.36
